7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
16;0;2,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
53;0;2,6,-1,-1,-1,-1;1,0,-1,-1,-1,-1
165;0;3,6,-1,-1,-1,-1;1,0,-1,-1,-1,-1
15;0;4,6,-1,-1,-1,-1;1,0,-1,-1,-1,-1
19;0;4,6,-1,-1,-1,-1;1,0,-1,-1,-1,-1
10;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
32;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
11;0;2,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;2,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;4,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;3,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
8;0;4,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
12;0;6,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
12;0;3,2,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,2,-1,-1,-1,-1;0,1,-1,-1,-1,-1
132;0;6,2,-1,-1,-1,-1;0,1,-1,-1,-1,-1
13;0;3,2,-1,-1,-1,-1;0,1,-1,-1,-1,-1
13;0;3,2,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
6;0;4,2,-1,-1,-1,-1;1,0,-1,-1,-1,-1
15;0;6,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
117;0;6,3,-1,-1,-1,-1;0,1,-1,-1,-1,-1
12;0;2,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
16;0;2,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
19;0;4,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
19;0;6,4,-1,-1,-1,-1;0,1,-1,-1,-1,-1
18;0;6,4,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,4,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,4,-1,-1,-1,-1;0,1,-1,-1,-1,-1
20;0;4,3,-1,-1,-1,-1;1,0,-1,-1,-1,-1
7;0;2,4,-1,-1,-1,-1;0,1,-1,-1,-1,-1
5;0;2,4,-1,-1,-1,-1;0,1,-1,-1,-1,-1
13;0;3,4,-1,-1,-1,-1;0,1,-1,-1,-1,-1
16;0;3,4,-1,-1,-1,-1;0,1,-1,-1,-1,-1
