7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
12;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
12;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
11;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
11;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
11;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
13;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
12;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
14;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
16;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
14;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
12;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
11;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
13;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
21;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
11;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
10;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
8;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
13;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
6;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
9;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
7;0;3,6,-1,-1,-1,-1;0,1,-1,-1,-1,-1
