28;0;2,2,2,2,2,-1;0,4,3,2,1,-1
14;0;2,2,2,2,2,-1;1,2,4,3,0,-1
20;0;2,2,2,2,2,-1;0,2,4,3,1,-1
13;0;2,2,2,2,2,-1;0,3,4,1,2,-1
32;0;2,2,2,2,2,-1;3,0,1,2,4,-1
20;0;2,2,2,2,2,-1;0,2,4,1,3,-1
28;0;2,2,2,2,2,-1;4,0,3,2,1,-1
33;0;2,2,2,2,2,-1;3,4,1,0,2,-1
18;0;2,2,2,2,2,-1;3,1,0,4,2,-1
10;0;2,2,2,2,2,-1;4,3,2,1,0,-1
14;0;2,2,2,2,2,-1;0,3,1,4,2,-1
17;0;2,2,2,2,2,-1;1,2,3,4,0,-1
18;0;2,2,2,2,2,-1;2,4,0,1,3,-1
25;0;2,2,2,2,2,-1;1,2,0,4,3,-1
18;0;2,2,2,2,2,-1;0,4,2,1,3,-1
14;0;2,2,2,2,2,-1;3,4,1,0,2,-1
13;0;2,2,2,2,2,-1;3,1,0,2,4,-1
36;0;2,2,2,2,2,-1;3,4,1,0,2,-1
18;0;2,2,2,2,2,-1;3,2,1,4,0,-1
29;0;2,2,2,2,2,-1;4,3,0,1,2,-1
21;0;2,2,2,2,2,-1;2,3,0,1,4,-1
22;0;2,2,2,2,2,-1;3,1,0,4,2,-1
14;0;2,2,2,2,2,-1;3,4,2,0,1,-1
15;0;2,2,2,2,2,-1;1,2,4,3,0,-1
14;0;2,2,2,2,2,-1;2,4,0,3,1,-1
16;0;2,2,2,2,2,-1;2,1,3,0,4,-1
13;0;2,2,2,2,2,-1;4,0,2,1,3,-1
9;0;2,2,2,2,2,-1;4,3,2,1,0,-1
9;0;2,2,2,2,2,-1;4,3,2,0,1,-1
20;0;2,2,2,2,2,-1;2,3,4,1,0,-1
25;0;2,2,2,2,2,-1;0,4,2,3,1,-1
17;0;2,2,2,2,2,-1;1,2,0,4,3,-1
17;0;2,2,2,2,2,-1;3,4,1,2,0,-1
18;0;2,2,2,2,2,-1;4,0,1,3,2,-1
19;0;2,2,2,2,2,-1;1,3,2,4,0,-1
18;0;2,2,2,2,2,-1;4,2,1,3,0,-1
5;0;2,2,2,2,2,-1;4,0,2,1,3,-1
23;0;2,2,2,2,2,-1;3,0,2,4,1,-1
23;0;2,2,2,2,2,-1;4,2,1,0,3,-1
12;0;2,2,2,2,2,-1;1,2,0,4,3,-1
30;0;2,2,2,2,2,-1;3,0,4,1,2,-1
11;0;2,2,2,2,2,-1;2,4,0,3,1,-1
12;0;2,2,2,2,2,-1;3,2,4,0,1,-1
17;0;2,2,2,2,2,-1;1,2,4,3,0,-1
22;0;2,2,2,2,2,-1;4,2,1,0,3,-1
15;0;2,2,2,2,2,-1;2,3,4,0,1,-1
14;0;2,2,2,2,2,-1;4,3,1,0,2,-1
14;0;2,2,2,2,2,-1;2,4,1,0,3,-1
27;0;2,2,2,2,2,-1;0,1,3,4,2,-1
11;0;2,2,2,2,2,-1;4,2,1,3,0,-1
30;0;2,2,2,2,2,-1;2,4,1,3,0,-1
21;0;2,2,2,2,2,-1;2,4,0,3,1,-1
10;0;2,2,2,2,2,-1;2,3,4,1,0,-1
13;0;2,2,2,2,2,-1;3,2,1,0,4,-1
24;0;2,2,2,2,2,-1;4,1,3,0,2,-1
15;0;2,2,2,2,2,-1;1,2,3,4,0,-1
18;0;2,2,2,2,2,-1;4,0,3,2,1,-1
20;0;2,2,2,2,2,-1;0,1,3,2,4,-1
19;0;2,2,2,2,2,-1;1,3,2,0,4,-1
26;0;2,2,2,2,2,-1;1,3,2,0,4,-1
21;0;2,2,2,2,2,-1;1,4,2,3,0,-1
19;0;2,2,2,2,2,-1;2,0,3,4,1,-1
14;0;2,2,2,2,2,-1;4,1,2,0,3,-1
15;0;2,2,2,2,2,-1;1,2,0,3,4,-1
29;0;2,2,2,2,2,-1;1,4,3,0,2,-1
30;0;2,2,2,2,2,-1;1,3,0,4,2,-1
16;0;2,2,2,2,2,-1;3,1,0,4,2,-1
14;0;2,2,2,2,2,-1;4,0,2,3,1,-1
13;0;2,2,2,2,2,-1;4,3,2,1,0,-1
33;0;2,2,2,2,2,-1;1,2,0,4,3,-1
21;0;2,2,2,2,2,-1;0,4,3,2,1,-1
17;0;2,2,2,2,2,-1;0,4,3,1,2,-1
11;0;2,2,2,2,2,-1;3,4,0,2,1,-1
6;0;2,2,2,2,2,-1;4,2,1,3,0,-1
7;0;2,2,2,2,2,-1;2,4,3,0,1,-1
17;0;2,2,2,2,2,-1;1,2,3,4,0,-1
19;0;2,2,2,2,2,-1;2,1,4,0,3,-1
13;0;2,2,2,2,2,-1;4,1,2,0,3,-1
20;0;2,2,2,2,2,-1;0,2,3,4,1,-1
20;0;2,2,2,2,2,-1;1,4,0,3,2,-1
26;0;2,2,2,2,2,-1;0,2,1,3,4,-1
13;0;2,2,2,2,2,-1;4,0,3,1,2,-1
20;0;2,2,2,2,2,-1;1,0,2,4,3,-1
14;0;2,2,2,2,2,-1;1,0,3,2,4,-1
23;0;2,2,2,2,2,-1;4,0,3,1,2,-1
20;0;2,2,2,2,2,-1;4,3,1,2,0,-1
9;0;2,2,2,2,2,-1;4,1,3,0,2,-1
18;0;2,2,2,2,2,-1;1,0,3,4,2,-1
18;0;2,2,2,2,2,-1;4,3,2,0,1,-1
23;0;2,2,2,2,2,-1;4,3,2,1,0,-1
9;0;2,2,2,2,2,-1;4,3,0,2,1,-1
13;0;2,2,2,2,2,-1;2,1,0,4,3,-1
13;0;2,2,2,2,2,-1;1,4,3,2,0,-1
18;0;2,2,2,2,2,-1;1,3,4,0,2,-1
12;0;2,2,2,2,2,-1;3,1,4,0,2,-1
18;0;2,2,2,2,2,-1;1,4,2,0,3,-1
16;0;2,2,2,2,2,-1;4,3,0,2,1,-1
18;0;2,2,2,2,2,-1;1,2,0,4,3,-1
17;0;2,2,2,2,2,-1;4,0,1,2,3,-1
17;0;2,2,2,2,2,-1;0,3,4,1,2,-1
10;0;2,2,2,2,2,-1;2,1,0,3,4,-1
20;0;2,2,2,2,2,-1;4,3,0,1,2,-1
11;0;2,2,2,2,2,-1;2,1,3,0,4,-1
15;0;2,2,2,2,2,-1;4,1,3,0,2,-1
36;0;2,2,2,2,2,-1;0,4,3,1,2,-1
10;0;2,2,2,2,2,-1;3,0,4,2,1,-1
11;0;2,2,2,2,2,-1;2,4,1,3,0,-1
16;0;2,2,2,2,2,-1;1,0,4,2,3,-1
11;0;2,2,2,2,2,-1;4,3,1,0,2,-1
15;0;2,2,2,2,2,-1;2,4,0,1,3,-1
24;0;2,2,2,2,2,-1;0,4,2,3,1,-1
38;0;2,2,2,2,2,-1;3,2,4,1,0,-1
18;0;2,2,2,2,2,-1;0,4,3,2,1,-1
26;0;2,2,2,2,2,-1;3,1,0,4,2,-1
18;0;2,2,2,2,2,-1;2,0,1,4,3,-1
23;0;2,2,2,2,2,-1;3,2,0,4,1,-1
24;0;2,2,2,2,2,-1;1,2,4,0,3,-1
20;0;2,2,2,2,2,-1;4,3,2,0,1,-1
20;0;2,2,2,2,2,-1;0,1,4,3,2,-1
16;0;2,2,2,2,2,-1;0,3,1,4,2,-1
13;0;2,2,2,2,2,-1;4,1,0,3,2,-1
12;0;2,2,2,2,2,-1;3,1,0,2,4,-1
29;0;2,2,2,2,2,-1;1,2,3,4,0,-1
13;0;2,2,2,2,2,-1;2,0,3,4,1,-1
23;0;2,2,2,2,2,-1;1,0,3,2,4,-1
13;0;2,2,2,2,2,-1;4,1,3,0,2,-1
20;0;2,2,2,2,2,-1;3,2,1,0,4,-1
21;0;2,2,2,2,2,-1;3,2,0,4,1,-1
26;0;2,2,2,2,2,-1;4,2,3,1,0,-1
17;0;2,2,2,2,2,-1;2,0,1,4,3,-1
12;0;2,2,2,2,2,-1;4,0,3,2,1,-1
12;0;2,2,2,2,2,-1;4,3,1,0,2,-1
24;0;2,2,2,2,2,-1;0,1,4,2,3,-1
20;0;2,2,2,2,2,-1;4,1,0,3,2,-1
19;0;2,2,2,2,2,-1;1,0,3,2,4,-1
16;0;2,2,2,2,2,-1;3,0,2,4,1,-1
16;0;2,2,2,2,2,-1;1,2,0,3,4,-1
16;0;2,2,2,2,2,-1;2,1,0,4,3,-1
15;0;2,2,2,2,2,-1;3,4,1,0,2,-1
15;0;2,2,2,2,2,-1;1,0,2,4,3,-1
13;0;2,2,2,2,2,-1;2,0,3,4,1,-1
26;0;2,2,2,2,2,-1;3,0,1,2,4,-1
16;0;2,2,2,2,2,-1;4,2,1,0,3,-1
27;0;2,2,2,2,2,-1;0,3,1,2,4,-1
10;0;2,2,2,2,2,-1;1,2,0,3,4,-1
14;0;2,2,2,2,2,-1;1,4,2,3,0,-1
20;0;2,2,2,2,2,-1;0,3,4,1,2,-1
34;0;2,2,2,2,2,-1;2,0,4,3,1,-1
12;0;2,2,2,2,2,-1;4,2,1,0,3,-1
12;0;2,2,2,2,2,-1;3,1,4,0,2,-1
16;0;2,2,2,2,2,-1;4,2,0,3,1,-1
14;0;2,2,2,2,2,-1;4,1,3,2,0,-1
8;0;2,2,2,2,2,-1;3,4,1,2,0,-1
16;0;2,2,2,2,2,-1;2,3,4,0,1,-1
14;0;2,2,2,2,2,-1;0,3,1,4,2,-1
26;0;2,2,2,2,2,-1;3,0,1,4,2,-1
10;0;2,2,2,2,2,-1;4,1,0,3,2,-1
14;0;2,2,2,2,2,-1;0,4,3,2,1,-1
15;0;2,2,2,2,2,-1;4,2,3,1,0,-1
15;0;2,2,2,2,2,-1;1,0,3,2,4,-1
18;0;2,2,2,2,2,-1;4,2,0,3,1,-1
16;0;2,2,2,2,2,-1;1,3,0,2,4,-1
15;0;2,2,2,2,2,-1;0,3,1,4,2,-1
21;0;2,2,2,2,2,-1;2,1,4,0,3,-1
14;0;2,2,2,2,2,-1;1,2,0,3,4,-1
13;0;2,2,2,2,2,-1;1,3,4,2,0,-1
22;0;2,2,2,2,2,-1;4,0,3,2,1,-1
16;0;2,2,2,2,2,-1;1,0,4,3,2,-1
15;0;2,2,2,2,2,-1;1,2,0,4,3,-1
19;0;2,2,2,2,2,-1;0,3,2,1,4,-1
14;0;2,2,2,2,2,-1;2,0,1,3,4,-1
21;0;2,2,2,2,2,-1;4,2,3,0,1,-1
24;0;2,2,2,2,2,-1;1,3,0,2,4,-1
26;0;2,2,2,2,2,-1;0,2,4,3,1,-1
9;0;2,2,2,2,2,-1;3,0,1,2,4,-1
16;0;2,2,2,2,2,-1;0,1,3,2,4,-1
18;0;2,2,2,2,2,-1;4,3,0,1,2,-1
15;0;2,2,2,2,2,-1;3,2,4,1,0,-1
14;0;2,2,2,2,2,-1;3,2,1,0,4,-1
25;0;2,2,2,2,2,-1;1,0,3,4,2,-1
32;0;2,2,2,2,2,-1;3,4,1,2,0,-1
16;0;2,2,2,2,2,-1;3,4,2,0,1,-1
10;0;2,2,2,2,2,-1;2,3,0,4,1,-1
18;0;2,2,2,2,2,-1;0,1,3,2,4,-1
13;0;2,2,2,2,2,-1;3,1,4,0,2,-1
24;0;2,2,2,2,2,-1;2,0,4,3,1,-1
21;0;2,2,2,2,2,-1;0,3,1,4,2,-1
31;0;2,2,2,2,2,-1;4,2,3,1,0,-1
34;0;2,2,2,2,2,-1;2,3,4,0,1,-1
17;0;2,2,2,2,2,-1;3,4,2,1,0,-1
24;0;2,2,2,2,2,-1;3,0,2,4,1,-1
24;0;2,2,2,2,2,-1;4,2,3,1,0,-1
13;0;2,2,2,2,2,-1;0,3,2,4,1,-1
23;0;2,2,2,2,2,-1;0,1,4,2,3,-1
15;0;2,2,2,2,2,-1;3,0,1,2,4,-1
11;0;2,2,2,2,2,-1;2,0,1,4,3,-1
29;0;2,2,2,2,2,-1;2,3,4,0,1,-1
30;0;2,2,2,2,2,-1;2,3,4,0,1,-1
17;0;2,2,2,2,2,-1;3,0,4,2,1,-1
20;0;2,2,2,2,2,-1;2,4,3,1,0,-1
17;0;2,2,2,2,2,-1;2,0,4,3,1,-1
21;0;2,2,2,2,2,-1;0,2,4,3,1,-1
12;0;2,2,2,2,2,-1;4,3,2,1,0,-1
21;0;2,2,2,2,2,-1;4,0,3,2,1,-1
31;0;2,2,2,2,2,-1;3,4,0,2,1,-1
22;0;2,2,2,2,2,-1;1,2,4,0,3,-1
12;0;2,2,2,2,2,-1;1,0,2,3,4,-1
17;0;2,2,2,2,2,-1;0,3,4,2,1,-1
16;0;2,2,2,2,2,-1;1,4,3,2,0,-1
16;0;2,2,2,2,2,-1;1,3,2,4,0,-1
14;0;2,2,2,2,2,-1;3,4,0,2,1,-1
10;0;2,2,2,2,2,-1;4,2,3,1,0,-1
18;0;2,2,2,2,2,-1;2,0,4,1,3,-1
15;0;2,2,2,2,2,-1;4,3,2,0,1,-1
19;0;2,2,2,2,2,-1;2,3,1,0,4,-1
18;0;2,2,2,2,2,-1;4,2,1,0,3,-1
27;0;2,2,2,2,2,-1;0,1,2,4,3,-1
13;0;2,2,2,2,2,-1;4,0,3,2,1,-1
8;0;2,2,2,2,2,-1;2,4,3,1,0,-1
10;0;2,2,2,2,2,-1;3,1,0,4,2,-1
22;0;2,2,2,2,2,-1;4,0,1,3,2,-1
18;0;2,2,2,2,2,-1;3,4,2,0,1,-1
18;0;2,2,2,2,2,-1;4,3,1,0,2,-1
12;0;2,2,2,2,2,-1;4,2,0,1,3,-1
28;0;2,2,2,2,2,-1;1,2,3,0,4,-1
23;0;2,2,2,2,2,-1;4,2,3,0,1,-1
13;0;2,2,2,2,2,-1;4,1,0,2,3,-1
20;0;2,2,2,2,2,-1;4,3,2,0,1,-1
17;0;2,2,2,2,2,-1;4,1,0,2,3,-1
23;0;2,2,2,2,2,-1;3,1,4,0,2,-1
11;0;2,2,2,2,2,-1;4,3,0,1,2,-1
16;0;2,2,2,2,2,-1;0,3,1,2,4,-1
20;0;2,2,2,2,2,-1;3,0,1,2,4,-1
21;0;2,2,2,2,2,-1;4,2,1,3,0,-1
25;0;2,2,2,2,2,-1;4,0,1,2,3,-1
14;0;2,2,2,2,2,-1;3,1,4,2,0,-1
11;0;2,2,2,2,2,-1;2,1,0,4,3,-1
17;0;2,2,2,2,2,-1;3,2,1,4,0,-1
18;0;2,2,2,2,2,-1;4,2,0,3,1,-1
14;0;2,2,2,2,2,-1;1,4,0,2,3,-1
18;0;2,2,2,2,2,-1;0,4,2,1,3,-1
13;0;2,2,2,2,2,-1;1,0,4,3,2,-1
15;0;2,2,2,2,2,-1;3,4,0,2,1,-1
11;0;2,2,2,2,2,-1;4,3,0,2,1,-1
13;0;2,2,2,2,2,-1;3,1,2,4,0,-1
17;0;2,2,2,2,2,-1;0,2,1,3,4,-1
20;0;2,2,2,2,2,-1;0,3,1,2,4,-1
16;0;2,2,2,2,2,-1;2,3,4,1,0,-1
16;0;2,2,2,2,2,-1;0,4,2,3,1,-1
15;0;2,2,2,2,2,-1;4,2,0,3,1,-1
9;0;2,2,2,2,2,-1;4,1,0,2,3,-1
12;0;2,2,2,2,2,-1;4,3,0,2,1,-1
21;0;2,2,2,2,2,-1;0,4,1,2,3,-1
20;0;2,2,2,2,2,-1;4,2,0,1,3,-1
8;0;2,2,2,2,2,-1;3,2,1,4,0,-1
24;0;2,2,2,2,2,-1;3,1,4,2,0,-1
19;0;2,2,2,2,2,-1;3,1,0,4,2,-1
11;0;2,2,2,2,2,-1;4,0,3,2,1,-1
16;0;2,2,2,2,2,-1;1,0,3,4,2,-1
14;0;2,2,2,2,2,-1;3,0,4,1,2,-1
16;0;2,2,2,2,2,-1;4,3,0,2,1,-1
15;0;2,2,2,2,2,-1;2,3,1,4,0,-1
9;0;2,2,2,2,2,-1;2,0,1,3,4,-1
30;0;2,2,2,2,2,-1;2,4,1,3,0,-1
28;0;2,2,2,2,2,-1;0,4,1,2,3,-1
6;0;2,2,2,2,2,-1;2,1,0,3,4,-1
26;0;2,2,2,2,2,-1;3,2,4,0,1,-1
20;0;2,2,2,2,2,-1;3,2,4,1,0,-1
14;0;2,2,2,2,2,-1;4,1,0,2,3,-1
18;0;2,2,2,2,2,-1;1,0,3,4,2,-1
14;0;2,2,2,2,2,-1;4,0,2,3,1,-1
37;0;2,2,2,2,2,-1;3,4,2,0,1,-1
16;0;2,2,2,2,2,-1;2,0,1,4,3,-1
35;0;2,2,2,2,2,-1;0,3,2,1,4,-1
13;0;2,2,2,2,2,-1;4,3,2,0,1,-1
15;0;2,2,2,2,2,-1;2,4,3,0,1,-1
35;0;2,2,2,2,2,-1;2,3,1,0,4,-1
15;0;2,2,2,2,2,-1;1,4,2,3,0,-1
8;0;2,2,2,2,2,-1;3,1,4,2,0,-1
17;0;2,2,2,2,2,-1;3,4,2,1,0,-1
33;0;2,2,2,2,2,-1;0,4,3,1,2,-1
11;0;2,2,2,2,2,-1;2,1,3,4,0,-1
25;0;2,2,2,2,2,-1;1,2,3,0,4,-1
22;0;2,2,2,2,2,-1;4,0,1,2,3,-1
22;0;2,2,2,2,2,-1;2,3,4,1,0,-1
11;0;2,2,2,2,2,-1;3,2,1,4,0,-1
12;0;2,2,2,2,2,-1;4,0,3,1,2,-1
13;0;2,2,2,2,2,-1;1,0,4,2,3,-1
29;0;2,2,2,2,2,-1;0,4,1,2,3,-1
22;0;2,2,2,2,2,-1;0,1,2,3,4,-1
20;0;2,2,2,2,2,-1;2,1,3,4,0,-1
21;0;2,2,2,2,2,-1;1,4,3,2,0,-1
13;0;2,2,2,2,2,-1;0,3,4,2,1,-1
30;0;2,2,2,2,2,-1;0,4,3,2,1,-1
26;0;2,2,2,2,2,-1;1,3,4,2,0,-1
14;0;2,2,2,2,2,-1;4,3,2,0,1,-1
20;0;2,2,2,2,2,-1;1,3,0,2,4,-1
20;0;2,2,2,2,2,-1;0,4,3,2,1,-1
11;0;2,2,2,2,2,-1;3,2,0,4,1,-1
24;0;2,2,2,2,2,-1;3,0,2,1,4,-1
18;0;2,2,2,2,2,-1;2,4,1,0,3,-1
24;0;2,2,2,2,2,-1;4,3,0,1,2,-1
32;0;2,2,2,2,2,-1;2,0,3,1,4,-1
12;0;2,2,2,2,2,-1;4,3,1,2,0,-1
37;0;2,2,2,2,2,-1;1,2,0,4,3,-1
30;0;2,2,2,2,2,-1;1,2,3,4,0,-1
15;0;2,2,2,2,2,-1;4,1,3,2,0,-1
13;0;2,2,2,2,2,-1;4,1,2,0,3,-1
17;0;2,2,2,2,2,-1;2,1,0,3,4,-1
22;0;2,2,2,2,2,-1;1,0,4,3,2,-1
21;0;2,2,2,2,2,-1;2,0,1,3,4,-1
22;0;2,2,2,2,2,-1;3,1,4,2,0,-1
15;0;2,2,2,2,2,-1;3,1,4,0,2,-1
17;0;2,2,2,2,2,-1;0,3,2,4,1,-1
25;0;2,2,2,2,2,-1;0,1,2,4,3,-1
21;0;2,2,2,2,2,-1;3,4,1,2,0,-1
28;0;2,2,2,2,2,-1;4,1,3,0,2,-1
14;0;2,2,2,2,2,-1;2,0,3,1,4,-1
10;0;2,2,2,2,2,-1;4,2,3,0,1,-1
13;0;2,2,2,2,2,-1;3,1,2,4,0,-1
40;0;2,2,2,2,2,-1;4,0,1,3,2,-1
15;0;2,2,2,2,2,-1;4,2,1,0,3,-1
12;0;2,2,2,2,2,-1;2,4,1,0,3,-1
12;0;2,2,2,2,2,-1;4,3,2,0,1,-1
16;0;2,2,2,2,2,-1;2,1,0,3,4,-1
17;0;2,2,2,2,2,-1;4,3,0,2,1,-1
9;0;2,2,2,2,2,-1;3,4,2,0,1,-1
12;0;2,2,2,2,2,-1;4,2,1,3,0,-1
22;0;2,2,2,2,2,-1;0,4,1,2,3,-1
11;0;2,2,2,2,2,-1;4,3,0,2,1,-1
26;0;2,2,2,2,2,-1;0,3,4,2,1,-1
16;0;2,2,2,2,2,-1;4,3,0,2,1,-1
17;0;2,2,2,2,2,-1;3,0,4,2,1,-1
28;0;2,2,2,2,2,-1;0,1,4,2,3,-1
17;0;2,2,2,2,2,-1;2,1,4,0,3,-1
28;0;2,2,2,2,2,-1;3,4,2,1,0,-1
17;0;2,2,2,2,2,-1;3,2,4,1,0,-1
13;0;2,2,2,2,2,-1;2,0,1,4,3,-1
15;0;2,2,2,2,2,-1;4,3,2,0,1,-1
30;0;2,2,2,2,2,-1;0,4,2,3,1,-1
11;0;2,2,2,2,2,-1;4,1,3,2,0,-1
37;0;2,2,2,2,2,-1;4,2,0,3,1,-1
21;0;2,2,2,2,2,-1;3,2,0,4,1,-1
26;0;2,2,2,2,2,-1;1,3,0,2,4,-1
12;0;2,2,2,2,2,-1;3,0,1,4,2,-1
21;0;2,2,2,2,2,-1;0,4,1,2,3,-1
24;0;2,2,2,2,2,-1;4,1,2,0,3,-1
11;0;2,2,2,2,2,-1;3,2,4,0,1,-1
16;0;2,2,2,2,2,-1;1,2,3,4,0,-1
17;0;2,2,2,2,2,-1;2,4,0,3,1,-1
11;0;2,2,2,2,2,-1;4,0,3,2,1,-1
12;0;2,2,2,2,2,-1;2,3,4,0,1,-1
22;0;2,2,2,2,2,-1;0,2,4,3,1,-1
24;0;2,2,2,2,2,-1;4,2,0,3,1,-1
19;0;2,2,2,2,2,-1;3,0,4,1,2,-1
14;0;2,2,2,2,2,-1;2,4,0,3,1,-1
10;0;2,2,2,2,2,-1;4,0,1,3,2,-1
26;0;2,2,2,2,2,-1;1,4,3,0,2,-1
15;0;2,2,2,2,2,-1;3,1,0,4,2,-1
28;0;2,2,2,2,2,-1;2,3,0,4,1,-1
15;0;2,2,2,2,2,-1;0,1,4,2,3,-1
20;0;2,2,2,2,2,-1;1,0,3,4,2,-1
14;0;2,2,2,2,2,-1;3,2,0,4,1,-1
15;0;2,2,2,2,2,-1;4,0,2,1,3,-1
19;0;2,2,2,2,2,-1;2,3,4,1,0,-1
17;0;2,2,2,2,2,-1;0,1,2,3,4,-1
17;0;2,2,2,2,2,-1;4,1,3,0,2,-1
11;0;2,2,2,2,2,-1;2,1,4,3,0,-1
8;0;2,2,2,2,2,-1;3,4,0,2,1,-1
14;0;2,2,2,2,2,-1;4,3,0,2,1,-1
17;0;2,2,2,2,2,-1;4,1,0,3,2,-1
26;0;2,2,2,2,2,-1;4,1,0,3,2,-1
22;0;2,2,2,2,2,-1;1,0,2,4,3,-1
13;0;2,2,2,2,2,-1;1,4,3,0,2,-1
36;0;2,2,2,2,2,-1;2,1,3,4,0,-1
14;0;2,2,2,2,2,-1;4,0,1,2,3,-1
20;0;2,2,2,2,2,-1;2,3,4,1,0,-1
9;0;2,2,2,2,2,-1;4,2,1,3,0,-1
15;0;2,2,2,2,2,-1;4,1,0,3,2,-1
28;0;2,2,2,2,2,-1;4,1,2,0,3,-1
25;0;2,2,2,2,2,-1;3,0,4,2,1,-1
16;0;2,2,2,2,2,-1;0,3,4,2,1,-1
9;0;2,2,2,2,2,-1;3,4,0,2,1,-1
15;0;2,2,2,2,2,-1;3,2,0,4,1,-1
17;0;2,2,2,2,2,-1;3,1,4,2,0,-1
16;0;2,2,2,2,2,-1;2,4,0,1,3,-1
28;0;2,2,2,2,2,-1;4,1,3,2,0,-1
19;0;2,2,2,2,2,-1;4,1,3,2,0,-1
29;0;2,2,2,2,2,-1;0,1,3,2,4,-1
21;0;2,2,2,2,2,-1;2,3,0,4,1,-1
10;0;2,2,2,2,2,-1;4,2,3,1,0,-1
23;0;2,2,2,2,2,-1;2,1,3,0,4,-1
11;0;2,2,2,2,2,-1;2,0,1,4,3,-1
28;0;2,2,2,2,2,-1;2,1,4,0,3,-1
18;0;2,2,2,2,2,-1;1,0,4,2,3,-1
11;0;2,2,2,2,2,-1;2,0,1,4,3,-1
19;0;2,2,2,2,2,-1;4,0,2,3,1,-1
26;0;2,2,2,2,2,-1;0,1,3,4,2,-1
11;0;2,2,2,2,2,-1;2,3,0,4,1,-1
23;0;2,2,2,2,2,-1;4,1,3,0,2,-1
28;0;2,2,2,2,2,-1;2,0,3,1,4,-1
